,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,texture_worst,0.631578947368421,0.6193056169836356,0.631578947368421,0.6217543859649123,322.0951557159424,1.1170902252197266,11478
1,area_worst,0.9064327485380117,0.9064115662053807,0.9064327485380117,0.906296296296296,101.96709632873535,1.0974136590957642,15056
2,concave points_worst,0.9707602339181286,0.9711210798031876,0.9707602339181286,0.9706188807182456,66.17498397827148,1.0633565187454224,19233
3,perimeter_worst,0.9415204678362573,0.9438342232392576,0.9415204678362573,0.9421035970743573,63.63511085510254,0.8779013156890869,22629
4,area_se,0.9122807017543859,0.9137168028925725,0.9122807017543859,0.9127047613540351,74.67293739318848,0.8214834928512573,26008
5,concave points_mean,0.9707602339181286,0.9709250491883916,0.9707602339181286,0.970807351651423,47.01495170593262,0.6198738813400269,30441
6,compactness_se,0.9590643274853801,0.9590334345286402,0.9590643274853801,0.9590147703244224,41.027069091796875,0.6187814474105835,35023
7,concavity_worst,0.9766081871345029,0.9767710032831792,0.9766081871345029,0.9765497410001301,364.52412605285645,0.5628989934921265,39032
8,concave points_se,0.9473684210526315,0.9472049689440994,0.9473684210526315,0.9472504540711828,188.16614151000977,0.4558514654636383,43716
9,texture_mean,0.935672514619883,0.9373004088067609,0.935672514619883,0.9361637008275977,110.198974609375,0.40118974447250366,47091
10,smoothness_mean,0.9532163742690059,0.9538206910600158,0.9532163742690059,0.9529679537534996,92.83900260925293,0.35659125447273254,51383
11,radius_worst,0.9532163742690059,0.9532681408451645,0.9532163742690059,0.953106693987028,56.90598487854004,0.32543882727622986,54755
12,symmetry_worst,0.9415204678362573,0.9419855880630458,0.9415204678362573,0.9412099421918747,64.05997276306152,0.2763347029685974,58673
13,area_mean,0.9766081871345029,0.9780701754385965,0.9766081871345029,0.9767708706510284,64.40210342407227,0.2426213175058365,62189
14,symmetry_se,0.9649122807017544,0.964964200972986,0.9649122807017544,0.9647962498839692,62.727928161621094,0.1912900060415268,66692
15,concavity_mean,0.9415204678362573,0.9415204678362573,0.9415204678362573,0.9415204678362573,57.929039001464844,0.14300201833248138,70970
16,smoothness_worst,0.9766081871345029,0.9770284296600088,0.9766081871345029,0.9766777854166137,84.7170352935791,0.10925968736410141,74959
17,compactness_mean,0.9590643274853801,0.9592865671381634,0.9590643274853801,0.9588560648934163,69.39005851745605,0.07903049886226654,79215
18,radius_se,0.9766081871345029,0.9774218154080854,0.9766081871345029,0.9764118872096322,82.94677734375,0.03872331604361534,83121
19,compactness_worst,0.9883040935672515,0.9885247710471147,0.9883040935672515,0.9882711830080251,76.1268138885498,0.037924084812402725,87129
20,concavity_se,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,64.45002555847168,0.03358079120516777,91635
21,smoothness_se,0.9415204678362573,0.9412952671533907,0.9415204678362573,0.9412639786601006,57.543277740478516,0.025572126731276512,96640
22,perimeter_se,0.9415204678362573,0.9415204678362573,0.9415204678362573,0.9415204678362573,78.82285118103027,0.024893708527088165,100037
23,fractal_dimension_se,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,110.53204536437988,0.018996892496943474,105109
24,symmetry_mean,0.9590643274853801,0.9592379959989447,0.9590643274853801,0.9591170626512604,75.83880424499512,0.014400508254766464,109046
25,texture_se,0.9707602339181286,0.9709592106601567,0.9707602339181286,0.9708229585647704,72.51191139221191,0.013553248718380928,112627
26,fractal_dimension_mean,0.9824561403508771,0.982481318105827,0.9824561403508771,0.9824335395654997,72.7381706237793,0.013237932696938515,117133
27,radius_mean,0.9707602339181286,0.9712044136744502,0.9707602339181286,0.9706739233319504,75.26397705078125,0.0,120490
28,perimeter_mean,0.9707602339181286,0.9707279873802738,0.9707602339181286,0.9707081305372054,94.37417984008789,0.0,123886
29,fractal_dimension_worst,0.9941520467836257,0.9942406521353889,0.9941520467836257,0.9941605095067058,97.15414047241211,0.0,128323
