,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,V14,0.9984317030066828,0.9984317030066828,0.9984317030066828,0.9984317030066828,24457.80301094055,178.54073961274793,7658695
1,V17,0.9993211848834895,0.9992995631608376,0.9993211848834895,0.9993080704036746,25377.82096862793,138.2140209611928,12903467
2,V12,0.999403110845827,0.9993710847554391,0.999403110845827,0.999370001061908,22176.786184310913,116.73530740040472,18085667
3,V4,0.9995201479348805,0.9995060108621194,0.9995201479348805,0.999488396908892,39399.82104301453,80.97549342598542,23224833
4,V10,0.9995318516437859,0.999513788669013,0.9995318516437859,0.9995150392148575,40989.7837638855,73.85455758115191,28453052
5,V1,0.9994967405170698,0.9994769185698108,0.9994967405170698,0.9994694527152425,40754.575967788696,69.40976049295051,33517344
6,V11,0.9994265182636377,0.9994012023267049,0.9994265182636377,0.9994027446000773,39405.95293045044,64.872521902871,38677220
7,V2,0.9995201479348805,0.9995003393342871,0.9995201479348805,0.9995029724087011,41042.05393791199,53.458866220386255,43834352
8,V16,0.9996839998595555,0.9996754091853262,0.9996839998595555,0.9996748631662913,63961.97032928467,47.70231309401333,49032934
9,V3,0.9994616293903538,0.9994471461355785,0.9994616293903538,0.9994251570560885,65516.557931900024,31.61807608380093,54131111
10,V7,0.9996839998595555,0.9996751915228754,0.9996839998595555,0.9996746461559243,69672.18613624573,28.742319368481283,59328809
11,Amount,0.9995903701883126,0.9995782817019564,0.9995903701883126,0.9995710780375976,72938.48085403442,26.02811238708747,60895388
12,V19,0.9995201479348805,0.9995012306826708,0.9995201479348805,0.9994980496931007,86302.3910522461,23.369753882827474,66113519
13,V9,0.9995552590615966,0.9995396313368788,0.9995552590615966,0.999535812637132,83761.83891296387,22.087690244633453,71296554
14,V20,0.9996488887328394,0.999638954145148,0.9996488887328394,0.9996350860317103,87471.04501724243,19.17802633862079,76623708
15,V18,0.9994967405170698,0.9994809529265223,0.9994967405170698,0.9994665936189386,113096.04001045227,18.984821279979986,81836009
16,V21,0.9996137776061234,0.999602162229167,0.9996137776061234,0.9995962480726513,104708.02688598633,18.59813050144959,87143897
17,V26,0.9994499256814484,0.999420789847222,0.9994499256814484,0.9994219009599021,97411.80276870728,17.896018001594253,92423731
18,Time,0.9995903701883126,0.9995752256584908,0.9995903701883126,0.9995729819811855,96597.46193885803,16.489261864863355,94824372
19,V13,0.9995669627705019,0.9995510607560069,0.9995669627705019,0.9995499598659149,98525.87103843689,15.010572501727616,100000345
20,V6,0.9994967405170698,0.9994754807229221,0.9994967405170698,0.9994757290426146,96466.78590774536,14.088458849233957,105209534
21,V15,0.9995552590615966,0.999540465500506,0.9995552590615966,0.9995367594725971,96832.82518386841,13.587823445537548,110388357
22,V8,0.999602073897218,0.9995890661070798,0.999602073897218,0.9995851337090195,92324.51510429382,13.001888880207902,115652859
23,V23,0.9995786664794073,0.9995643350292731,0.9995786664794073,0.9995616544207929,100105.5428981781,12.677521122282727,120985835
24,V28,0.999602073897218,0.9995892845377047,0.999602073897218,0.9995823700072484,120242.46597290039,10.965329377636438,126393499
25,V25,0.9995669627705019,0.9995528470318458,0.9995669627705019,0.9995435191082976,119240.08917808533,10.779405910629064,131651723
26,V27,0.9994499256814484,0.9994253752156055,0.9994499256814484,0.9994237289150767,108061.32817268372,10.49773693261437,137045815
27,V5,0.9996605924417448,0.9996509306619693,0.9996605924417448,0.9996446322503424,123955.46221733093,10.375139064399663,142222688
28,V24,0.999602073897218,0.9995899939156849,0.999602073897218,0.9995862401796558,134462.77689933777,10.231140286722841,147473964
29,V22,0.9995903701883126,0.9995766573025122,0.9995903701883126,0.9995720680577593,120030.00497817993,9.036302122958547,152700137
