,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,area_worst,0.9181286549707602,0.9247172267135969,0.9181286549707602,0.9163350502435921,105.90291023254395,693.5764151856465,11691
1,concave points_worst,0.9122807017543859,0.9147248170579695,0.9122807017543859,0.9127122546852775,30.692100524902344,665.3621363782837,15868
2,perimeter_worst,0.9415204678362573,0.9413540914432975,0.9415204678362573,0.9412965597176123,24.847030639648438,609.1899083512869,19264
3,concavity_worst,0.9415204678362573,0.9413729518992677,0.9415204678362573,0.9413069434639755,24.658203125,572.5582047222608,23273
4,concave points_mean,0.9415204678362573,0.9416561256851638,0.9415204678362573,0.9410074894839437,24.359941482543945,386.3867226188225,27706
5,texture_worst,0.9707602339181286,0.9717717717717717,0.9707602339181286,0.9709401709401709,24.092912673950195,244.2809896397355,31071
6,radius_worst,0.9532163742690059,0.9538442064757854,0.9532163742690059,0.9529825897315153,29.675960540771484,180.0977987827883,34443
7,smoothness_worst,0.9473684210526315,0.9513826940231936,0.9473684210526315,0.946352281777034,24.96504783630371,162.56370357566735,38432
8,texture_mean,0.9766081871345029,0.9767354302298219,0.9766081871345029,0.9765268453762402,25.763988494873047,145.0436819415492,41807
9,area_se,0.9649122807017544,0.9649741638045731,0.9649122807017544,0.9648021191998689,26.75795555114746,131.54850933578447,45186
10,compactness_se,0.9532163742690059,0.953200903493301,0.9532163742690059,0.9530694922664916,27.038097381591797,116.73877497979262,49768
11,fractal_dimension_mean,0.9532163742690059,0.9530157092076597,0.9532163742690059,0.9529631015699127,26.94988250732422,54.8824061967138,54274
12,compactness_worst,0.9590643274853801,0.959335888397005,0.9590643274853801,0.9588866103006995,27.493000030517578,52.69044656391587,58282
13,symmetry_se,0.9473684210526315,0.9495607343044826,0.9473684210526315,0.9467119184529986,27.66704559326172,46.29738709090922,62785
14,radius_se,0.9590643274853801,0.9589544513457556,0.9590643274853801,0.958972575388698,28.706789016723633,44.72872336435526,66691
15,concave points_se,0.9590643274853801,0.9589617318149174,0.9590643274853801,0.9589765129800816,30.36022186279297,40.9174330875139,71375
16,symmetry_mean,0.9590643274853801,0.9590274001114537,0.9590643274853801,0.9590115923194997,32.2260856628418,35.75774904775373,75312
17,concavity_mean,0.9649122807017544,0.9668089141773352,0.9649122807017544,0.9645641882483987,31.40997886657715,32.64588323654965,79590
18,symmetry_worst,0.9883040935672515,0.9885129490392648,0.9883040935672515,0.9882593119435223,31.020164489746094,27.36786574085366,83508
19,fractal_dimension_worst,0.9298245614035088,0.9346451714872768,0.9298245614035088,0.9287805871718483,32.360076904296875,24.207241848488803,87945
20,fractal_dimension_se,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,32.486915588378906,18.185502022782707,93017
21,area_mean,0.9649122807017544,0.9649937616173963,0.9649122807017544,0.9648135490240753,33.87880325317383,15.923575366792361,96533
22,compactness_mean,0.9532163742690059,0.9538206910600158,0.9532163742690059,0.9529679537534996,33.6611270904541,15.462100094720416,100789
23,radius_mean,0.9590643274853801,0.9602470691916708,0.9590643274853801,0.9587845211113909,33.620357513427734,10.687702126317848,104146
24,perimeter_mean,0.9415204678362573,0.9429218849408668,0.9415204678362573,0.9409696603268294,34.91616249084473,9.954174767763709,107542
25,smoothness_se,0.9649122807017544,0.9655440095508836,0.9649122807017544,0.9646435909593806,36.21792793273926,7.77654845744375,112547
26,smoothness_mean,0.9707602339181286,0.9709531597354969,0.9707602339181286,0.970820212925476,35.042762756347656,5.529138982164731,116839
27,texture_se,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,35.87770462036133,4.130595235768519,120420
28,perimeter_se,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,36.689043045043945,3.5647111330992147,123817
29,concavity_se,0.9941520467836257,0.994209379658296,0.9941520467836257,0.9941454148063452,37.03713417053223,0.20802125150620393,128323
