,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,concave points_mean,0.8654970760233918,0.8673507668542426,0.8654970760233918,0.866147300742854,175.3551959991455,30.495477901936663,12546
1,perimeter_worst,0.9298245614035088,0.930072093814784,0.9298245614035088,0.9294069717108446,124.76491928100586,24.676952894106282,15942
2,area_worst,0.9415204678362573,0.9415204678362573,0.9415204678362573,0.9415204678362573,118.6370849609375,21.665514286211227,19520
3,concave points_worst,0.9415204678362573,0.9413152764953319,0.9415204678362573,0.941275092930169,117.49887466430664,18.86476480607322,23697
4,radius_worst,0.9707602339181286,0.9709783864048837,0.9707602339181286,0.970831615006331,125.38385391235352,16.32788831518495,27069
5,concavity_mean,0.9590643274853801,0.9614130955804814,0.9590643274853801,0.9583043403163324,117.38014221191406,12.565245740006917,31347
6,radius_mean,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,128.91316413879395,11.628491211293309,34704
7,area_mean,0.9415204678362573,0.9414627521876777,0.9415204678362573,0.9413559150401256,121.81806564331055,10.265749134602736,38220
8,perimeter_mean,0.9298245614035088,0.9296101655031768,0.9298245614035088,0.9295805361287206,157.67908096313477,8.2846179801302,41616
9,area_se,0.9590643274853801,0.9592731829573934,0.9590643274853801,0.959133748349368,155.73716163635254,6.930395891460544,44995
10,concavity_worst,0.9415204678362573,0.9421587350087848,0.9415204678362573,0.9417040703393997,149.69992637634277,6.822427205656803,49004
11,texture_worst,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,141.26896858215332,3.8764236408062045,52369
12,compactness_worst,0.9298245614035088,0.9306350824901298,0.9298245614035088,0.9300932511458828,147.4308967590332,3.7475734034582655,56377
13,texture_mean,0.9707602339181286,0.9711315325350413,0.9707602339181286,0.9706261504837539,143.65625381469727,3.6088009592474686,59752
14,symmetry_worst,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,134.88316535949707,3.1462218504839607,63670
15,compactness_mean,0.9415204678362573,0.9415204678362573,0.9415204678362573,0.9415204678362573,128.16572189331055,2.417962565952464,67926
16,smoothness_worst,0.9532163742690059,0.9531584215794742,0.9532163742690059,0.9530455547711804,137.6488208770752,2.196903318261871,71915
17,radius_se,0.9415204678362573,0.941391481684838,0.9415204678362573,0.9413171134406007,124.22394752502441,2.156659453718558,75821
18,concavity_se,0.9707602339181286,0.9709304124508803,0.9707602339181286,0.9708098202495488,136.2020969390869,1.4250995064021548,80327
19,perimeter_se,0.9005847953216374,0.9009204987209701,0.9005847953216374,0.9007207012747178,120.3157901763916,1.333305720629228,83724
20,smoothness_mean,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,139.67323303222656,1.1856191112929346,88016
21,fractal_dimension_worst,0.9707602339181286,0.9709358975024619,0.9707602339181286,0.9708123372990519,180.35316467285156,0.9770910345353511,92453
22,compactness_se,0.9532163742690059,0.9537518211909414,0.9532163742690059,0.9533480165059112,137.56299018859863,0.9434336948719112,97035
23,concave points_se,0.9473684210526315,0.9513718819199014,0.9473684210526315,0.947758408405899,136.64603233337402,0.8829767660664677,101719
24,symmetry_mean,0.9415204678362573,0.9422231221735903,0.9415204678362573,0.9417339922085393,131.6969394683838,0.7979270110714647,105656
25,texture_se,0.9473684210526315,0.947645013434487,0.9473684210526315,0.9474715541161001,141.1428451538086,0.7281167043558552,109237
26,symmetry_se,0.9532163742690059,0.9532163742690059,0.9532163742690059,0.9532163742690059,137.21704483032227,0.7144612561359067,113740
27,fractal_dimension_se,0.9590643274853801,0.9592697961119013,0.9590643274853801,0.9588454932855025,142.89212226867676,0.573705610812715,118812
28,fractal_dimension_mean,0.9473684210526315,0.9475886686413002,0.9473684210526315,0.9474445855603518,125.84114074707031,0.4947315185774481,123318
29,smoothness_se,0.9707602339181286,0.970741446685249,0.9707602339181286,0.9707155394400037,147.9949951171875,0.48196940405000366,128323
